Time,Stimulus,Raw F3,Raw F4,F3-Cz,F4-Cz,F3-CMA,F4-CMA
0.3671956,0,-0.665975,3.677328,-2.863901,1.479402,-0.665974993846154,3.67732800615385
0.3711019,0,0.2569485,0.3513848,-2.7467315,-2.6522952,0.256948446153846,0.351384746153846
0.3750083,0,-1.4635,-2.806658,1.440277,0.0971189999999997,-1.46350009153846,-2.80665809153846
0.3789146,0,-3.048089,-0.2892499,-1.098877,1.6599621,-3.04808903384615,-0.289249933846154
0.3828209,0,-4.868215,-4.684616,-4.9876565,-4.8040575,-4.86821502784615,-4.68461602784615
0.3867273,0,-5.495449,-3.508272,-4.9372764,-2.9500994,-5.49544888861538,-3.50827188861538
0.3906336,0,-4.447006,-2.518807,-5.749799,-3.8216,-4.44700588701538,-2.51880688701538
0.39454,0,-10.55401,-0.5472969,-12.328456,-2.3217429,-10.5540099292308,-0.547296829230769
0.3984463,0,1.504661,-0.6820318,-2.983572,-5.1702648,1.50466106769231,-0.682031732307692
0.4023526,0,0.6674801,-2.580559,-1.4730199,-4.721059,0.667480033846154,-2.58055906615385
0.406259,0,-3.025121,-1.767095,-6.551104,-5.293078,-3.025120962,-1.767094962
0.4101653,0,-2.420508,0.6058382,-5.935687,-2.9093408,-2.420507988,0.605838212
0.4140716,0,3.206465,2.78639,-3.689855,-4.10993,3.20646504938462,2.78639004938462
0.417978,0,0.5180682,-1.613176,-5.6940538,-7.825298,0.518068177384615,-1.61317602261538
0.4218843,0,-4.514548,-2.315588,-4.59940998,-2.40044998,-4.51454812092308,-2.31558812092308
0.4257906,0,-1.626072,-3.490794,-3.140245,-5.004967,-1.62607202430769,-3.49079402430769
0.429697,0,0.4672052,1.283148,0.3209636,1.1369064,0.467205192923077,1.28314799292308
0.4336033,0,-4.259163,-0.5012836,-5.803905,-2.0460256,-4.25916308329231,-0.501283683292308
0.4375097,0,5.010733,-2.510055,5.148136,-2.372652,5.01073299138462,-2.51005500861538
0.441416,0,-1.102758,0.4873038,-0.4525679,1.1374939,-1.10275803,0.48730377
0.4453223,0,-3.880509,-1.851663,-2.496613,-0.467767,-3.88050892116923,-1.85166292116923
0.4492287,0,-1.924072,-1.388619,-1.5761898,-1.0407368,-1.92407197230769,-1.38861897230769
0.453135,0,-0.3548158,-0.4700535,-2.5282798,-2.6435175,-0.354815890461539,-0.470053590461539
0.4570413,0,-0.2006595,-2.291124,-2.1187015,-4.209166,-0.200659498907692,-2.29112399890769
0.4609477,0,-3.8898,-1.850553,-8.336416,-6.297169,-3.88979983538462,-1.85055283538462
0.464854,0,-2.404144,-1.62667,-4.79869,-4.021216,-2.40414402461538,-1.62667002461538
0.4687603,0,0.3503835,-3.107007,0.0934678,-3.3639227,0.350383589076923,-3.10700691092308
0.4726667,0,-3.551635,0.07302815,-5.486483,-1.86181985,-3.55163503984615,0.0730281101538461
0.476573,0,0.1416594,-5.858859,-1.9100166,-7.910535,0.141659387692308,-5.85885901230769
0.4804794,0,0.1072157,-2.136178,-3.7514003,-5.994794,0.107215680769231,-2.13617801923077
0.4843857,0,-1.313578,-1.175976,-4.735697,-4.598095,-1.31357803716923,-1.17597603716923
0.488292,0,-0.9157679,-3.594021,0.3801251,-2.298128,-0.915767915230769,-3.59402101523077
0.4921983,0,0.7552239,-3.330249,0.0917815999999999,-3.9936913,0.755223876461538,-3.33024902353846
0.4961047,0,2.303598,0.2973792,1.9622761,-0.0439427,2.30359802030769,0.297379220307692
0.500011,0,1.767298,1.457832,-0.584895,-0.894361,1.76729790846154,1.45783190846154
0.5039174,0,-2.127006,-2.499236,-0.0220740000000004,-0.394304,-2.12700607692308,-2.49923607692308
0.5078237,0,-1.857609,-2.340453,0.310217,-0.172627,-1.85760903833846,-2.34045303833846
0.51173,0,1.148359,-1.253232,0.5034621,-1.8981289,1.14835911015385,-1.25323188984615
0.5156364,0,0.4344369,-4.987414,-1.2437471,-6.665598,0.434436858461539,-4.98741404153846
